ID,分类,英文原词,中文直译,CNSH建议命名,人话解释,文化出处,龍魂场景,CNSH用法示例,关联术语
CODE-014,编程执行层,try/catch,尝试捕获,试探/擒拿,先试试，出错了抓住别崩——探虚实，擒祸患,兵法·先探虚实再定策·擒贼先擒王,容错试探擒拿,试探: ... 擒拿 祸: 报(祸),"CODE-001, DEVOPS-015"
CODE-015,编程执行层,stack trace,堆栈追踪,回溯链,出错时从哪一层一层调过来的记录——倒查来源，逐层追责,《春秋》笔法·追本溯源·层层问责,故障回溯链,报回溯链() — 出错时打印调用链,"CODE-014, AUDIT-004"
CODE-016,编程执行层,heap,堆,聚宝盆,程序运行时动态申请内存的地方——大肚能容,民间传说聚宝盆·放什么变什么·取之不竭,大数据聚宝盆,聚宝盆.分配(大块内存),CODE-017
CODE-017,编程执行层,stack,栈,叠书台,函数调用一层层叠起来的地方——后进先出，如叠书,书案叠书·后放先取,调用叠书台,叠书台.压入(术帧),"CODE-016, CODE-015"
CODE-018,编程执行层,pointer,指针,引路针,存储另一个东西地址的变量——指路不带走,指南针·指方向不带走目的地,数据引路针,引路针 → 目标物,"CODE-019, CODE-016"
CODE-019,编程执行层,reference,引用,借据,不复制，只给个名字指向原物——借条一张，原物不动,古代借据·凭条取物·物不二存,对象借据,借据 原物 — 指而不拷,CODE-018
CODE-020,编程执行层,scope,作用域,领地,变量能活多久、能被谁看见的范围——各有封地，不得越界,古代分封制·各守封地·不得越境,变量领地,领地(术内) — 变量只在此术可见,CODE-021
CODE-021,编程执行层,closure,闭包,封匣,"函数带着自己的""记忆""出去执行——封存记忆，随身携带",古人将重要物品封入匣中随身携带,审计规则封匣,"封匣(审迹术, 领地记忆)","CODE-001, CODE-020"
CODE-022,编程执行层,recursion,递归,自环,函数自己调用自己——周而复始，自环不息,《周易》太极图·阴阳自环,树形结构自环遍历,术 探枝(节点): 对 子节点 在 节点.子女: 探枝(子节点),"CODE-001, CODE-023"
CODE-023,编程执行层,iterator,迭代器,逐物官,一个一个往外拿东西的机制——逐一点验，不重不漏,古代仓库逐物官·逐件点验登记,日志逐物官,逐物官(日志册) → 逐一取,"CODE-024, CODE-022"
CODE-024,编程执行层,generator,生成器,涌泉,需要时才产生下一个值，省内存——泉水涌出，取之不竭,涌泉·不竭之源·随取随涌,实时数据涌泉,涌泉 产生数据() → 逐一涌出,CODE-023
CODE-025,编程执行层,decorator,装饰器,加冕,给函数套个壳子加功能——加冕不换人,古代帝王加冕·身份不变·权能增加,审计规则加冕,@加冕(计时) 术 审迹(): ...,"CODE-001, CODE-026"
CODE-026,编程执行层,lambda,匿名函数,隐术,没有名字的临时小函数——随手一用，不留名,隐者不留名·功成身退,过滤条件隐术,隐术 x: x > 阈,CODE-001
NET-001,网络通信层,API,应用程序接口,通关口,两个系统之间对话的规矩——关口有令，出入有序,古代通关文牒·关口验证·有序通行,龍魂与华为云通关口,通关口('/v1/审迹') → 请命/回禀,"NET-002, NET-003"
NET-002,网络通信层,endpoint,端点,哨站,API的具体地址——每个哨站守一路,古代边疆哨站·各守一路·瞭望敌情,数据上传哨站,哨站('POST /审迹/上报'),"NET-001, NET-020"
NET-003,网络通信层,request/response,请求/响应,请命/回禀,我问你答——请命于上，回禀于下,古代君臣奏对·臣请命·君回旨,设备请命回禀,"请命(哨站, 货舱) → 回禀(结果)","NET-001, NET-002"
NET-004,网络通信层,header,头部,信头,请求前面的元信息（谁发的、什么格式）——信头标记，验明正身,古代书信信头·发信人·日期·封印,身份验证信头,信头{验证: '持令 xxx'},"NET-003, CRYPTO-016"
NET-005,网络通信层,payload,载荷,货舱,真正要传输的数据本体——船上的货，不是船本身,货船货舱·船是载体·货是本体,审计数据货舱,"货舱 = {审迹结果, 时间印}","NET-003, NET-004"
NET-006,网络通信层,JSON,JSON格式,简牍,一种文本数据格式，人也能读——竹简记事，人人可读,秦汉简牍·书写方便·人人可读,配置简牍,"简牍{本命: 9622, 审级: '绿'}","NET-005, NET-007"
NET-007,网络通信层,XML,XML格式,典册,另一种更啰嗦的文本格式——典册繁复，但规矩森严,古代典籍册封·格式繁复·等级分明,旧系统典册,典册<审迹><用户>9622</用户></审迹>,NET-006
NET-008,网络通信层,REST,表征状态转移,静息法,用URL定位资源，用HTTP动词操作——静中取动，动中归静,道家·静为躁君·以静制动,龍魂API静息法,静息法 取(GET /用户/9622),"NET-001, NET-003"
NET-009,网络通信层,WebSocket,网络套接字,长连线,建立后一直连着，双向实时通信——一线牵，千里传音,月老红线·一线相连·牵动两端,实时审计长连线,长连线('ws://审迹/实时'),"NET-003, NET-010"
NET-010,网络通信层,gRPC,gRPC,疾信,高性能远程调用框架——八百里加急,古代驿站·八百里加急·最快传信,内部模块疾信,"疾信.请命(审迹服务, 数据)","NET-003, NET-009"
NET-011,网络通信层,TCP,传输控制协议,稳信道,可靠、有序、不丢包——稳如泰山，一字不落,泰山之稳·千里传书一字不差,审计数据稳信道,稳信道(哨站) → 有序不丢,"NET-012, NET-013"
NET-012,网络通信层,UDP,用户数据报协议,快信道,快但不保证到达——飞鸽传书，快但可能丢,飞鸽传书·快如闪电·但可能迷途,实时告警快信道,快信道(烽火哨站) → 尽力传,"NET-011, NET-013"
NET-013,网络通信层,HTTP/HTTPS,超文本传输协议,明文道/密文道,网页传输的基础协议——明修栈道/暗度陈仓,韩信·明修栈道暗度陈仓,官网密文道,密文道('https://uid9622.cn'),"NET-008, CRYPTO-006"
NET-014,网络通信层,DNS,域名系统,名录司,把域名翻译成IP地址——名录官查册，名对号,古代户部名录司·名册对应户籍,uid9622.cn 名录司,名录司.查('uid9622.cn') → '119.13.90.27',NET-013
NET-015,网络通信层,CDN,内容分发网络,驿站网,把内容放到离用户近的地方——驿站遍布，就近取件,古代驿站网络·每隔三十里一驿·就近换马,官网加速驿站网,驿站网.缓存(静态文件),"NET-013, NET-016"
NET-016,网络通信层,load balancer,负载均衡,分流闸,把请求均匀分给多台服务器——分水闸，水大分流,都江堰分水鱼嘴·水大时分流各渠,分布式分流闸,"分流闸([哨站1, 哨站2, 哨站3])","NET-015, NET-017"
NET-017,网络通信层,reverse proxy,反向代理,门房,外面人只看见门房，不知道后面是谁——深宅大院，门房挡驾,大户人家门房·来客只见门房·不知内院,安全门房,门房(公网) → 内院(哨站),"NET-016, NET-018"
NET-018,网络通信层,firewall,防火墙,护城河,过滤进出网络的流量——护城河挡外敌,古代城池护城河·阻挡外敌·过滤来者,七层护城河,护城河.放行(可信IP),"NET-017, CRYPTO-001"
NET-019,网络通信层,VPN,虚拟专用网络,暗道,在公网上搭一条加密隧道——地道战，神不知鬼不觉,古代地道/密道·暗中通行·外人不知,远程管理暗道,"暗道(鲲鹏, Mac)","NET-018, CRYPTO-001"
NET-020,网络通信层,NAT,网络地址转换,易容术,内网IP换成公网IP出去——乔装改扮，出门换脸,古代易容术·乔装改扮·以假乱真,内网设备易容术,易容术(内网IP) → 公网IP,NET-017
NET-021,网络通信层,port,端口,门牌号,IP是地址，端口是门牌号——地址到了找门牌,街巷门牌·一条街多个门·各有其号,服务门牌号,119.13.90.27:门牌号(443),"NET-002, NET-022"
NET-022,网络通信层,socket,套接字,插口,IP+端口，网络通信的端点——墙上的插口，插上就通,古代榫卯·插口对接·严丝合缝,通信插口,"插口(IP, 门牌号) → 连线","NET-021, NET-011"
DATA-001,数据存储层,database,数据库,档案库,有组织地存数据的地方——朝廷档案库，分类归档,古代朝廷档案库·分类保管·按册查询,龍魂档案库,档案库('龍魂').连(),"DATA-002, DATA-003"
DATA-002,数据存储层,SQL,结构化查询语言,查档语,跟关系型数据库说话的语言——用规矩的话查规矩的档,古代查档用语·有固定格式·一问一答,审计查档语,查档语('取 * 自 用户册 当 本命=9622'),"DATA-001, DATA-003"
DATA-003,数据存储层,NoSQL,非关系型数据库,散档库,不用固定表格，灵活存——散装档案，不拘格式,民间散档·不拘格式·随存随取,日志散档库,"散档库('日志').存({时间: '今', 事: '审迹'})","DATA-001, DATA-002"
DATA-004,数据存储层,table,表,册,行和列组成的二维结构——花名册，每人一行,古代花名册·竖列横行·每行一丁,用户册,"册 用户 {本命, 名号, 入籍时}","DATA-005, DATA-006"
DATA-005,数据存储层,row/record,行/记录,条,表里的一行数据——一条一条记,古代记账·一条一笔·清楚明白,一条审计条,"新条 {本命: 9622, 审色: '绿'}",DATA-004
DATA-006,数据存储层,column/field,列/字段,项,表里的一列——每一项有名字,古代账本·每一项有名称·有值,时间项,用户册.项('入籍时'),DATA-004
DATA-007,数据存储层,index,索引,速查簿,加速查询的数据结构——查档先查速查簿，不用翻遍所有册,古代档案室速查簿·按笔画/韵目编排·快速定位,日志速查簿,速查簿(用户册.本命) — 加速查,"DATA-004, DATA-005"
DATA-008,数据存储层,primary key,主键,本命,唯一标识一条记录的字段——每个人的本命独一无二,道家本命·一人一命·独一无二,用户本命,册 用户(本命 主),"DATA-005, DATA-009"
DATA-009,数据存储层,foreign key,外键,血缘,指向另一张表的关联——血脉相连，父子相认,宗族血脉·父系相传·有谱可查,模块血缘,审迹条.血缘 → 用户册.本命,"DATA-008, DATA-010"
DATA-010,数据存储层,join,连接,联姻,把多张表按条件拼起来——两姓联姻，合为一家,古代联姻·两族结合·信息互通,跨库审计联姻,"联姻(用户册, 审迹册, 用=本命)","DATA-009, DATA-004"
DATA-011,数据存储层,transaction,事务,契约,要么全做，要么全不做——一诺千金，不可半途,古代契约·画押为凭·不可反悔,资金转移契约,契约: 扣甲钱; 加乙钱; 契定,"DATA-001, DATA-005"
DATA-012,数据存储层,ACID,原子性一致性隔离性持久性,四铁律,数据库可靠性的四个保证——不可分割/状态一致/互不干扰/写入不丢,古代铁律·四大不可违背之规,档案库四铁律,档案库.守(四铁律),"DATA-011, DATA-001"
DATA-013,数据存储层,ORM,对象关系映射,译官,代码对象和数据库表之间的翻译——翻译官，两头通,古代译官·通两种语言·居中翻译,数据译官,译官(代码对象 ↔ 册),"DATA-001, CODE-001"
DATA-014,数据存储层,cache,缓存,近卫,把常用数据放近点，快取——贴身近卫，随叫随到,皇帝近卫·贴身护卫·随时调用,热点数据近卫,近卫.取(本命) — 快于档案库,"DATA-015, NET-015"
DATA-015,数据存储层,redis,Redis,赤速库,内存里的高速键值数据库——红色闪电，快到极致,赤兔马·日行千里·快如闪电,实时状态赤速库,"赤速库.设('状态', '在线', 过时=60)","DATA-014, DATA-003"
DATA-016,数据存储层,shard,分片,分疆,把大数据拆到多台机器——分疆而治，各管一片,古代分封制·分疆而治·各守其地,分布式分疆,"分疆(用户册, 按=地域)","DATA-017, DATA-004"
DATA-017,数据存储层,replica,副本,影身,数据的备份copy——如影随形，随时替补,道家分身术·影身不离真身,档案影身,影身(档案库) — 自动同步,"DATA-016, DATA-018"
DATA-018,数据存储层,backup,备份,存档,定期复制一份留着——存档备查，有备无患,古代存档制度·定期誊抄·异地保存,全量存档,"存档(档案库, 至='鲲鹏')",DATA-017
DATA-019,数据存储层,migration,迁移,搬家,数据从一个地方搬到另一个——举家搬迁，一件不落,古代移民·举家搬迁·全部带走,版本升级搬家,搬家(旧档案库 → 新档案库),"DATA-001, DATA-020"
DATA-020,数据存储层,schema,模式,蓝图,数据库的结构设计——建筑先画蓝图,古代营造·先画蓝图·后动工,档案库蓝图,"蓝图 用户档案 {册: [用户, 审迹, 日志]}","DATA-004, DATA-019"
CRYPTO-001,安全密码层,encryption,加密,锁匣,把明文变密文——把信锁进匣子里,古代密匣·锁住内容·唯钥可开,数据锁匣,"锁匣(明文, 用=暗钥)","CRYPTO-002, CRYPTO-003"
CRYPTO-002,安全密码层,decryption,解密,开匣,把密文变回来——用钥匙开匣子,对应锁匣·钥到匣开,授权开匣,"开匣(密文, 用=明钥)","CRYPTO-001, CRYPTO-008"
CRYPTO-003,安全密码层,hash,哈希,指纹,任意长度输入→固定长度输出，不可逆——每个人指纹唯一，不可还原,指纹·独一无二·不可逆推其人,文件指纹,指纹(文件) → 'a3f2...',"CRYPTO-004, CRYPTO-011"
CRYPTO-004,安全密码层,salt,盐值,佐料,给密码加点随机料再哈希——加把盐，味道不一样,烹饪佐料·同样的菜·不同佐料·不同味,密码佐料,指纹(密码 + 佐料()),CRYPTO-003
CRYPTO-005,安全密码层,signature,签名,印鉴,"用私钥证明""这是我发的""——盖上我的印",古代官印·盖印为凭·独一无二,行为印鉴,"印鉴(数据, 用=暗钥)","CRYPTO-006, CRYPTO-008"
CRYPTO-006,安全密码层,certificate,证书,凭证,权威机构发的身份证明——官方发的通行凭证,古代通关凭证·官方签发·验明正身,HTTPS凭证,"凭证('uid9622.cn', 签发=CA)","CRYPTO-005, CRYPTO-007"
CRYPTO-007,安全密码层,public key,公钥,明钥,可以公开，用来加密或验签——明面上的钥匙，谁都能用,城门外挂的锁·明钥人人可见,验证明钥,明钥('A2D0092C...') — 验印鉴用,"CRYPTO-008, CRYPTO-005"
CRYPTO-008,安全密码层,private key,私钥,暗钥,必须保密，用来解密或签名——暗藏的钥匙，只有自己知道,贴身暗藏的钥匙·永不示人,签名暗钥,🔴 暗钥永不入云·物理隔离,"CRYPTO-007, CRYPTO-005"
CRYPTO-009,安全密码层,symmetric encryption,对称加密,同钥锁,加密解密用同一把钥匙——同一把钥匙开同一把锁,传统铜锁·一把钥匙开一把锁,内部通信同钥锁,"同钥锁(明文, 钥=共享钥)","CRYPTO-010, CRYPTO-013"
CRYPTO-010,安全密码层,asymmetric encryption,非对称加密,双钥锁,公钥加密、私钥解密——两把不同的钥匙，一把锁一把开,阴阳锁·两钥配合·缺一不可,对外通信双钥锁,"双钥锁(明文, 锁用=明钥, 开用=暗钥)","CRYPTO-009, CRYPTO-007, CRYPTO-008"
CRYPTO-011,安全密码层,HMAC,哈希消息认证码,验身印,用密钥做哈希，验证消息完整性——验明正身，确认没被改过,古代验身·核验身份·确认无误,审计验身印,"验身印(消息, 用=共享钥)","CRYPTO-003, CRYPTO-005"
CRYPTO-012,安全密码层,JWT,JSON Web Token,通令牌,包含用户信息的自包含令牌——一块令牌，走遍天下,古代通关令牌·一牌在手·关卡通,身份通令牌,"通令牌{本命: 9622, 过期: '1时辰'}","CRYPTO-005, CRYPTO-006"
CRYPTO-013,安全密码层,AES,高级加密标准,国密甲,常用对称加密算法——甲等加密,天干之首·甲为第一,数据国密甲,国密甲.锁匣(数据),"CRYPTO-014, CRYPTO-015, CRYPTO-009"
CRYPTO-014,安全密码层,RSA,RSA算法,国密乙,常用非对称加密算法——乙等加密,天干之二·乙为次,身份国密乙,国密乙.双钥锁(数据),"CRYPTO-013, CRYPTO-015, CRYPTO-010"
CRYPTO-015,安全密码层,ECC,椭圆曲线加密,国密丙,更短的密钥、同等安全——丙等加密，轻而强,天干之三·丙为火·小而烈,轻量国密丙,国密丙.双钥锁(数据) — 短钥强安,"CRYPTO-013, CRYPTO-014"
CRYPTO-016,安全密码层,SM2/SM3/SM4,国密算法,龙锁/龙印/龙匣,中国自主密码标准——龍魂专属密码体系,中国自主·龍的传人·自己的锁,龍魂国密体系,龙锁(双钥)/龙印(指纹)/龙匣(同钥),"CRYPTO-013, CRYPTO-014, CRYPTO-015"
CRYPTO-017,安全密码层,OAuth,开放授权,代授权,"""我授权第三方代表我操作""——代行我权",古代代行授权·令牌代行·有限权力,第三方代授权,"代授权(微信, 权限='读用户')","CRYPTO-012, CRYPTO-018"
CRYPTO-018,安全密码层,MFA,多因素认证,三重门,密码+手机+指纹等多层验证——过三重门才见真颜,古代皇宫三重门·层层验证·方见天子,登录三重门,"三重门(密码, 短信, 指纹)","CRYPTO-012, CRYPTO-017"
CRYPTO-019,安全密码层,zero-knowledge proof,零知识证明,无言证,证明我知道某事，但不透露内容——不言自明,禅宗·不立文字·以心传心·知而不言,隐私无言证,"无言证(我知密码, 不透露密码)",AUDIT-008
CRYPTO-020,安全密码层,GPG,GNU隐私卫士,龍印,GPG密钥对——龍魂数字身份的终极凭证,传国玉玺·独一无二·盖印为凭,UID9622龍印,龍印(A2D0092CEE2E5BA87035600924C3704A8CC26D5F),"CRYPTO-005, CRYPTO-008"
AI-001,AI/ML层,model,模型,模子,"训练出来的""脑子""——用数据浇铸出来的模子",古代铸造·模子定型·浇铸成形,龍魂人格模子,模子('longhun-v4.0').断事(输入),"AI-002, AI-003"
AI-002,AI/ML层,training,训练,淬炼,用数据反复调整参数——千锤百炼，方成利器,铸剑淬炼·反复锻打·火淬水冷,人格淬炼,"淬炼(模子, 数据=训练集, 周天=100)","AI-001, AI-004, AI-008"
AI-003,AI/ML层,inference,推理,断事,用训练好的模型做预测——明镜高悬，当堂断案,古代判官断案·明镜高悬·是非立判,实时断事,模子.断事(新数据) → 预测,"AI-001, AI-002"
AI-004,AI/ML层,fine-tuning,微调,精修,在大模型基础上针对性调整——大器已成，精修细节,玉器精修·大形已成·细琢出彩,龍魂人格精修,"精修(底座模子, 用=龍魂数据)","AI-002, AI-001"
AI-005,AI/ML层,prompt,提示词,启语,给AI的输入指令——一语启动乾坤,咒语·一言启动·天地响应,人格启语,启语 = '你是龍魂审计官，检查以下数据...',"AI-003, AI-006"
AI-006,AI/ML层,embedding,嵌入,压影,把文字变成数字向量——压缩成影子，保留语义,皮影戏·扁平影子·蕴含丰富信息,语义压影,"压影('为人民服务') → [0.1, 0.3, ...]","AI-007, AI-005"
AI-007,AI/ML层,vector,向量,方向量,有方向的数字数组——在语义空间里指方向,指南针·有方向·有大小,语义方向量,方向量(768维) — 语义空间定位,AI-006
AI-008,AI/ML层,token,令牌/词元,字粒,AI处理的最小文本单位——一粒一粒的字,米粒·最小可数单位,输入字粒,"切字粒('你好世界') → ['你','好','世','界']","AI-005, AI-009"
AI-009,AI/ML层,context window,上下文窗口,记忆窗,AI能记住的最近对话长度——短时记忆的窗口,窗·有限的视野,龍魂记忆窗,记忆窗(8192字粒) — 超过则遗忘,"AI-008, AI-005"
AI-010,AI/ML层,temperature,温度,熵度,输出随机性，越高越发散——熵度越高越天马行空,热力学熵·无序程度,创意熵度,"模子.断事(启语, 熵度=0.7)","AI-011, AI-003"
AI-011,AI/ML层,top-p,核采样,择优域,只从概率最高的前P%里选——优中选优,科举择优·只取前茅,回答择优域,"模子.断事(启语, 择优域=0.9)",AI-010
AI-012,AI/ML层,epoch,轮次,周天,全部数据过一遍算一轮——天道循环一周,《周易》周天·循环一周,淬炼周天,"淬炼(模子, 周天=10)","AI-002, AI-013"
AI-013,AI/ML层,batch,批次,批,一次处理多少条数据——一批一批来,古代科举·分批次阅卷,训练批,"淬炼(模子, 批大小=32)","AI-012, AI-002"
AI-014,AI/ML层,loss,损失,偏差,预测和真实的差距——差了多少,射箭偏差·偏离靶心多少,淬炼偏差,"偏差(预测, 真实) → 0.05","AI-015, AI-016"
AI-015,AI/ML层,gradient,梯度,坡度,参数调整的方向和大小——往哪个坡走、走多大步,山路坡度·方向和陡缓,优化坡度,坡度(偏差) → 调整方向与大小,"AI-014, AI-016"
AI-016,AI/ML层,backpropagation,反向传播,回溯调,从输出倒推调整参数——从结果倒推，逐层调校,《大学》格物致知·由果推因,误差回溯调,回溯调(偏差) — 逐层调整参数,"AI-014, AI-015"
AI-017,AI/ML层,overfitting,过拟合,死记,只记住了训练数据，不会泛化——死记硬背，不会活用,科举死记·只会背不会用,模子死记,🔴 模子死记 — 训集准·测集崩,"AI-018, AI-002"
AI-018,AI/ML层,underfitting,欠拟合,懵懂,学得太浅，啥都没学会——懵懵懂懂，一问三不知,童蒙未开·懵懂无知,模子懵懂,🟡 模子懵懂 — 训测都差,"AI-017, AI-002"
AI-019,AI/ML层,RAG,检索增强生成,查补断,先查资料再回答——先查后断，有据可依,判官断案·先查卷宗·再下判决,龍魂查补断,"查补断(问题, 资料库=语义压影)","AI-003, AI-006"
AI-020,AI/ML层,agent,智能体,使徒,能自主决策行动的AI实体——奉命行事，自主决断,古代使徒·奉命出使·自主行事,龍魂使徒,"使徒('审迹官', 模子=审迹模子)","AI-001, AI-003"
AI-021,AI/ML层,LLM,大语言模型,大言模,基于海量文本训练的大模型——读万卷书的大模子,读万卷书·行万里路,底座大言模,大言模('qwen2.5') — 龍魂底座,"AI-001, AI-004"
AI-022,AI/ML层,LoRA,低秩适配,轻淬,只调整一小部分参数的高效微调——四两拨千斤,太极·四两拨千斤·以小动大,MLX LoRA轻淬,"轻淬(底座, rank=16, alpha=32)","AI-004, AI-002"
DEVOPS-001,DevOps/运维层,CI/CD,持续集成/持续部署,流水营,代码提交→测试→部署自动跑——流水线兵营，自动操练,古代兵营流水操练·一令到底·自动执行,龍魂流水营,流水营.跑(代码) → 测 → 部署,"DEVOPS-002, DEVOPS-003"
DEVOPS-002,DevOps/运维层,container,容器,匣,把应用和依赖打包隔离运行——封入匣中，自成天地,古代宝匣·自成一界·与外界隔离,服务匣,匣(審迹服务) — 隔离运行,"DEVOPS-003, DEVOPS-004"
DEVOPS-003,DevOps/运维层,Docker,Docker,匣工,容器化工具——造匣子的工匠,古代工匠·专司造匣,龍魂匣工,匣工.构建(蓝图文件),DEVOPS-002
DEVOPS-004,DevOps/运维层,Kubernetes/K8s,容器编排,统军台,管理成千上万个容器——统领千军的帅台,古代中军大帐·统率三军·调度有序,分布式统军台,"统军台.部署(匣, 副本数=3)","DEVOPS-005, DEVOPS-006"
DEVOPS-005,DevOps/运维层,pod,容器组,小队,K8s里最小的部署单元——最小的作战小队,古代军队最小作战单位·五人一伍,服务小队,"小队([审迹匣, 日志匣])",DEVOPS-004
DEVOPS-006,DevOps/运维层,service,服务,岗哨,对外暴露的稳定访问入口——固定岗哨，永远有人值守,古代城防固定岗哨·随时可联络,模块岗哨,"岗哨('审迹', 门牌号=8766)","DEVOPS-004, DEVOPS-005"
DEVOPS-007,DevOps/运维层,ingress,入口,正门,外部流量进入集群的入口——城门，一切从这进,古代城池正门·一切出入必经,流量正门,正门('uid9622.cn') → 路由到岗哨,"DEVOPS-004, NET-017"
DEVOPS-008,DevOps/运维层,namespace,命名空间,辖区,逻辑隔离的资源分组——各管各的辖区,古代行政区划·各府各县·各管辖区,模块辖区,辖区('审迹模块') — 隔离资源,DEVOPS-004
DEVOPS-009,DevOps/运维层,helm,Helm,舰长,K8s的包管理工具——掌舵的舰长,古代舰长·掌舵者·统管全船,部署舰长,"舰长.装('龍魂审迹', 配置=值册)",DEVOPS-004
DEVOPS-010,DevOps/运维层,log,日志,起居注,系统运行的记录——帝王起居注，事无巨细,古代帝王起居注·每日言行·记录在案,龍魂起居注,"起居注('审迹完成', 级='信息')","DEVOPS-011, AUDIT-001"
DEVOPS-011,DevOps/运维层,monitoring,监控,瞭望塔,实时看系统状态——站在高处瞭望全局,古代烽火台瞭望塔·登高望远·监视敌情,七层瞭望塔,瞭望塔.巡() → 各岗哨状态,"DEVOPS-012, DEVOPS-014"
DEVOPS-012,DevOps/运维层,alerting,告警,烽火台,出问题时发通知——点烽火，传警报,周幽王烽火戏诸侯·烽火传警,异常烽火台,烽火台.燃('内存超90%'),"DEVOPS-011, CODE-012"
DEVOPS-013,DevOps/运维层,tracing,追踪,跟脚,一个请求经过哪些服务——跟踪脚步，全程记录,古代追踪术·循迹跟脚,全链路跟脚,跟脚(请求ID) → [哨站A→哨站B→哨站C],"DEVOPS-010, AUDIT-004"
DEVOPS-014,DevOps/运维层,metrics,指标,晴雨表,量化的系统健康数据——阴晴圆缺，一表看清,农家晴雨表·看天吃饭·量化判断,系统晴雨表,"晴雨表{CPU: 45%, 内存: 60%, 延迟: 12ms}",DEVOPS-011
DEVOPS-015,DevOps/运维层,SLA,服务等级协议,军令状,承诺的服务质量标准——立下军令状，说到做到,诸葛亮挥泪斩马谡·军令状不可违,可用性军令状,"军令状(可用=99.9%, 响应<200ms)",DEVOPS-016
DEVOPS-016,DevOps/运维层,SRE,站点可靠性工程,守城司,保障系统稳定运行的工程实践——守护城池的部门,古代守城司·专司城防·保城池不失,龍魂守城司,守城司.巡() — 保障稳定,"DEVOPS-015, DEVOPS-011"
DEVOPS-017,DevOps/运维层,blue-green deployment,蓝绿部署,双营换,新旧版本并行，一键切换——两营并行，一声令下换防,古代换防·两营并行·令到即换,零停机双营换,双营换(蓝营→绿营) — 零停机,"DEVOPS-018, DEVOPS-019"
DEVOPS-018,DevOps/运维层,canary deployment,金丝雀发布,探路鸟,先放一小部分流量试新——放只鸟探路，安全再全放,矿工金丝雀·先探毒气·安全才下井,灰度探路鸟,"探路鸟(新版, 流量=5%) → 安全 → 全量","DEVOPS-017, DEVOPS-019"
DEVOPS-019,DevOps/运维层,rollback,回滚,撤军,新版本有问题，退回旧版——鸣金收兵，撤回原处,古代撤军·鸣金收兵·退回原阵,紧急撤军,撤军(到=旧版) — 紧急回退,DEVOPS-017
